channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId.value,canRate,viewerRating,likeCount,publishedAt,updatedAt,id,parentId,moderationStatus
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,지랄하고 자빠졌레,지랄하고 자빠졌레,@user-cq1ex6jm1v,https://yt3.ggpht.com/ytc/AIdro_naLAHDuPQfnKjXtx-M3iouDWcphGamq25KJOQh3eGcrtA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@user-cq1ex6jm1v,UCcI-A1tUvi73cazd1L7-fNA,TRUE,none,0,2023-01-24T09:05:30Z,2023-01-24T09:05:30Z,UgzFxaKwLd-XlYYD-3Z4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,여윽시 <br>더벌레vs병신힘,"여윽시 
더벌레vs병신힘",@user-mx3pt2ej3j,https://yt3.ggpht.com/ytc/AIdro_l1Ei_UOn3gRmgfSr7yz9KSSKyCjd8q_rgy03IhZBNtW-WLHx4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@user-mx3pt2ej3j,UCng3M7VsRAAXsJFWH28iuXw,TRUE,none,0,2023-01-24T09:04:09Z,2023-01-24T09:04:09Z,Ugy5gfSyoYOj7q5zuL14AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,광고비를내고 광고효과로 뽕을 뽑아무야지 왜 엄한데서 이득을 챙기냐고. 역겨워죽겠네.,광고비를내고 광고효과로 뽕을 뽑아무야지 왜 엄한데서 이득을 챙기냐고. 역겨워죽겠네.,@hoabihn,https://yt3.ggpht.com/ytc/AIdro_nG52sGeOfluKwm3G7hC1w_jr9I_SkamKimuYMF-B0qrNM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@hoabihn,UCgznejP4A_bDx8mPGUQbjtw,TRUE,none,0,2023-01-24T08:29:09Z,2023-01-24T08:29:09Z,Ugx5ylCWK4dPImDXbyl4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,목에 뭐넣고 얘기하나? 와 목소리 진짜 ㅋㅋㅋ,목에 뭐넣고 얘기하나? 와 목소리 진짜 ㅋㅋㅋ,@hoabihn,https://yt3.ggpht.com/ytc/AIdro_nG52sGeOfluKwm3G7hC1w_jr9I_SkamKimuYMF-B0qrNM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@hoabihn,UCgznejP4A_bDx8mPGUQbjtw,TRUE,none,0,2023-01-24T08:27:40Z,2023-01-24T08:27:40Z,UgwWJvMC50bMiJAHpLR4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,상판떼기에 탐욕이 그득하네,상판떼기에 탐욕이 그득하네,@qufkkceudu,https://yt3.ggpht.com/ytc/AIdro_njNEO3oY45-aGQWDEXbG9B3VXGGZ09BMkFhcyWbwRUg3s=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@qufkkceudu,UCI7wbby3RqQ44NN8X3qGC7g,TRUE,none,0,2023-01-24T08:14:24Z,2023-01-24T08:14:24Z,UgzvDCEipYDFJBPtEAd4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,국회의원 되려면 지능이 낮아야 하나요?,국회의원 되려면 지능이 낮아야 하나요?,@user-vb6iy7nf8w,https://yt3.ggpht.com/RRRdXT3jfdZ8Q1M46KaadOL3WyVU2g2g6y5AZar9u9-lauvrb-BiPQJw8j9iMO288OTP7oMP8w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@user-vb6iy7nf8w,UCIqRRopbhFFV-MspECDJ2DQ,TRUE,none,0,2023-01-24T07:47:24Z,2023-01-24T07:47:24Z,UgxPWdqrfLRW9LRweQd4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,살찐거봐라 국민 피빨고 찌운 살이다,살찐거봐라 국민 피빨고 찌운 살이다,@CanCerKim,https://yt3.ggpht.com/ytc/AIdro_kJPqWvKueKR6ve-T6-VP0Iwzbv9i7XSlkmXRqJMTHFLW0PvSU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@CanCerKim,UChPFMCBp8vaaDxOaz9GiPpA,TRUE,none,0,2023-01-24T07:46:49Z,2023-01-24T07:46:49Z,UgzLD88iFVnKswbgVeB4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,넌나가라,넌나가라,@willpark1579,https://yt3.ggpht.com/NJ7fHamWwNqpQwCVGcM5KfKw0NQCB8JCtTVFCqWkIvh86AqzaM4UWkGx5nuV0W_HaqecXXaL=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@willpark1579,UCMmerC900UB-tA5Blv4mYfQ,TRUE,none,0,2023-01-24T07:39:46Z,2023-01-24T07:39:46Z,UgwYmIiNWY5iQdShL4l4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,서영교는 사실 다 알면서 저러는거다,서영교는 사실 다 알면서 저러는거다,@holymolymonopoly,https://yt3.ggpht.com/ATmVgkpO1_FpVDSNn53DuRvCBciq_5LS72I0U9nw1OypVeFYYBLGx4RVEMwBMhKwJSnjftxzv_U=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@holymolymonopoly,UCPlupIMRq_oo2v2-yAw53DA,TRUE,none,0,2023-01-24T07:25:54Z,2023-01-24T07:25:54Z,UgyQPAisGwKfapGbb4t4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,논리가 1도 없는게 그들의 특징,논리가 1도 없는게 그들의 특징,@woejejdhw6773,https://yt3.ggpht.com/ytc/AIdro_ka9kf3f5S4QiLDjEKXtLprB2gTQ0S9Suno51y8guo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@woejejdhw6773,UCckDtgRR-i-YfOpxG1-WOMQ,TRUE,none,0,2023-01-24T07:17:21Z,2023-01-24T07:17:21Z,Ugy4WFsSIFAHTPf3zHx4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,난 현대 월드컵이라는 이야기를 처음 들어보는데??,난 현대 월드컵이라는 이야기를 처음 들어보는데??,@binder422,https://yt3.ggpht.com/ytc/AIdro_kKRByWpUYbAJR5TM7zQYQBzy6p_w4Ith2snsI0n1LwCTA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@binder422,UComoCDjxXElrcELmUDoV0gA,TRUE,none,0,2023-01-24T07:03:29Z,2023-01-24T07:03:29Z,UgxZIKK1Sx75VD5MLC54AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,저거 광고비를 k리그에 줘야 하는거 아닌가?<br><br>방금 지가 지 입으로 얘기했잖아..<br>현대가 피파(국제축구연맹)한테 돈을 줬다고<br>두산도 k리그에 줘야지..<br><br>현대가 카타르한테 돈 주지는 않았잖아..,"저거 광고비를 k리그에 줘야 하는거 아닌가?

방금 지가 지 입으로 얘기했잖아..
현대가 피파(국제축구연맹)한테 돈을 줬다고
두산도 k리그에 줘야지..

현대가 카타르한테 돈 주지는 않았잖아..",@user-fp6cv8wg5r,https://yt3.ggpht.com/ytc/AIdro_nPn4aAKItc28pU_5mrkR1GaIzvpp9RlJ96m1nVmBKV0IhcSuvDkApTz5o-FZmXjoV6c9YP5y_1=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@user-fp6cv8wg5r,UCdIJF5_Qy2-IuZczk-EbL4w,TRUE,none,0,2023-01-24T06:52:37Z,2023-01-24T06:52:37Z,UgyOmU9FUXXJHj1bvA94AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,ㅋㅋㅋㅋㅋ말같지도 않은 소리를 말처럼하는거보니 너무 웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ말같지도 않은 소리를 말처럼하는거보니 너무 웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,@ggakddugi6713,https://yt3.ggpht.com/ytc/AIdro_myupVdzKZi22eMwFr5sRPk-bZVZ9dUldQa5Dv285w3_ng=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ggakddugi6713,UCyhsQIJYIoT5irdPf1G2NYw,TRUE,none,0,2023-01-24T06:44:34Z,2023-01-24T06:44:34Z,UgyqTLud5vs1VqxbxiB4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,저걸 저렇게 들이된다고??!! ㅋㅋㅋ 정말 재미나네,저걸 저렇게 들이된다고??!! ㅋㅋㅋ 정말 재미나네,@user-be4sh7bd4h,https://yt3.ggpht.com/Ff0crXYA5MX64MdWsDm3Fc0WcPaM0xKPYx-YhTzUoQOH5sLdglJzVpWLxN0ktXciTWFU7PUP=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@user-be4sh7bd4h,UC2mPU_B83yIA3U80uCz9u9Q,TRUE,none,0,2023-01-24T06:15:01Z,2023-01-24T06:15:01Z,UgyzSJoBcmpNBRe8O-14AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,피파가 현대차 용도변경 해줬냐...,피파가 현대차 용도변경 해줬냐...,@mok3123,https://yt3.ggpht.com/_nP-jAfxCPMrKIEV4Ejv0lsOyFnjpMMCBiZCsXAEp0r8N1JgfydqtD6ap9ioSa9XQ3Nx87s5=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mok3123,UC_nDZN9Z8xaP8IWAgs4RirA,TRUE,none,0,2023-01-24T06:02:48Z,2023-01-24T06:02:48Z,UgwM2Ak6hVeR3NOUZWh4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,이 아줌마는 본인이 x맨인걸 아직 모르는것같음,이 아줌마는 본인이 x맨인걸 아직 모르는것같음,@onepunchsaitama5293,https://yt3.ggpht.com/zi014-HNxfA4A_tcCraEJEWEHIEq1a7f05XEQ6yyPSK4g46sBMyN_Nuqm9Ch1_mlY6Jt1BNPvQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@onepunchsaitama5293,UC2xtj-HRTVCssndIRcx0waA,TRUE,none,0,2023-01-24T05:57:14Z,2023-01-24T05:57:14Z,Ugw6QxlENsuOLQMj7Al4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,성남시장이 왜 성남fc에 두산이 광고하는데 토지용도변경을 해준거야? 그것도 병원은 아예 없어지고?,성남시장이 왜 성남fc에 두산이 광고하는데 토지용도변경을 해준거야? 그것도 병원은 아예 없어지고?,@user-pi1ug9un4f,https://yt3.ggpht.com/ytc/AIdro_lMlovZmVvoIdcWDN3aQOuWujmW8Ej1SFC4aQCtYxM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@user-pi1ug9un4f,UC9sGbep6FYtfGtGxtvvBgjQ,TRUE,none,0,2023-01-24T05:50:48Z,2023-01-24T05:50:48Z,UgwWGbT1jwPTXm1thtB4AaABAg,NA,NA
UCoQD2xsqwzJA93PTIYERokg,IUiMxaI4-EQ,찢었으니까요!,찢었으니까요!,@user-vu3eb9ft6j,https://yt3.ggpht.com/WWIkcQ-L5GxmspJ_eCd-trvwbNeqFr8YEoKp-Qs1GXWYVYrm_4cIYRIbj8iZVtxY9BBNADJUMA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@user-vu3eb9ft6j,UCFxRkduN204TvR_nnUoBugA,TRUE,none,0,2023-01-24T05:50:37Z,2023-01-24T05:50:37Z,Ugwbaomj074ETrS4fnd4AaABAg,NA,NA
