id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url
o735mWQ_8-w,"'만 18세 선거권', 현실이 되다!",2021-04-06T00:46:29Z,"#만18세선거권 #선거 #투표 #유권자 #청소년유권자
오랜 세월 '만 18세 선거권'을 위해 활동해온 더불어민주당 신정현 의원!
그리고! 고등학교 3학년이자, 더불어민주당 예비당원협의체 '더 새파란'의 김가진 위원장!
두 사람을 통해 '만 18세 선거권'이 갖는 의미와 이를 이루기 위해 노력한 순간들에 대해 들어본다.",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,956,63,0,12,https://www.youtube.com/watch?v=o735mWQ_8-w
o76TnLKrfeM,지금부터 책임 소재를 따져봐야 합니다,2022-11-01T09:40:19Z,,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,7282,1374,0,68,https://www.youtube.com/watch?v=o76TnLKrfeM
o7nJfWxoE9Y,[씀: 긴급 LIVE 짤] (일부) 야당이  소방관 국가직 전환을 반대하는 이유,2019-04-09T08:59:46Z,"[씀: 긴급 Live 짤] 4월 9일 Live

- 소방공무원 국가직 전환 관련 특별 생방송 짤

소병훈 의원 & 이경 상근부대변인",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,4243,544,0,64,https://www.youtube.com/watch?v=o7nJfWxoE9Y
o7ns_ebqebY,해외에 나가면 스트레스가 없다는 대통령님,2023-05-26T08:29:40Z,#더불어민주당 #최고위원회의 #서영교,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,4227,476,0,44,https://www.youtube.com/watch?v=o7ns_ebqebY
O80ZxesbuIg,[씀｜새해인사]  2019년 새해 복 많이 받으세요!,2018-12-31T03:18:01Z,"[씀｜새해인사]


새로운 100년이 될 2019년, 
씀 시청자 여러분 모두 2019년 한해
건강하시고 행복하시길 바라겠습니다!  


2019년엔 더욱 재밌고 유익한 채널이 될 수 있도록
노력하겠습니다 :D



#새해인사 #2019년 #새해복",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,6037,736,0,169,https://www.youtube.com/watch?v=O80ZxesbuIg
O88m0TTf724,난방비 폭탄 민주당 지방정부‧의회 긴급 대책회의 생중계,2023-01-26T00:45:07Z,"#난방비폭탄 #더불어민주당 #지방정부
2023년 1월 26일 목요일 오전 9시 생중계",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,2274,673,0,16,https://www.youtube.com/watch?v=O88m0TTf724
o8NqcujEzmA,부울경 메가시티는 정쟁의 이슈가 아닙니다,2022-05-12T09:01:08Z,#더불어민주당 #경남도지사후보 #양문석,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,4477,508,0,16,https://www.youtube.com/watch?v=o8NqcujEzmA
OA2MuTjW9e0,웃을 수밖에 없는 국힘 조수진의 쌀값 대책,2023-04-05T07:12:07Z,#양곡관리법 #조수진 #더불어민주당 #이재명 #박홍근,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,4973,566,0,67,https://www.youtube.com/watch?v=OA2MuTjW9e0
OAAn25dm49U,[씀:에라이Live] 공수처 관련 가짜뉴스 특집,2019-10-22T03:14:27Z,"[씀: 에라이뉴스 LIVE]  10월 22일 생방송

국회의원 강병원, 이경 상근부대변인 출연 

공수처 관련 가짜뉴스 특집
- 공수처는 대통령 마음대로 하는 수사검찰청?
- 공수처는 좌파가 영구집권하겠다는 뜻?
- 공수처 설치, 자유한국당은 반대했었다? 
- 공수처 설치, 전 세계적으로 유례 없다?",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,4467,1148,0,28,https://www.youtube.com/watch?v=OAAn25dm49U
OaBS70llrq8,이낙연 당대표 외신기자 간담회 생중계,2020-10-21T07:30:02Z,"#더불어민주당 #이낙연 #외신기자간담회
2020년 10월 21일 수요일 오후 3시 생중계
00:00 라이브시작
07:22 간담회시작",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,7375,764,0,35,https://www.youtube.com/watch?v=OaBS70llrq8
oajBZ3ZLc3Q,"[씀: 대수다 LIVE]  '민폐정당' 자한당, 경제보복 대응 협력도 NO?",2019-07-11T06:52:18Z,"[씀: 대변인들의 수다 Live] 7월 11일 Live !
홍익표 수석대변인, 이재정 대변인 출연

- 윤석열 검찰청장 후보자 청문회 
- 일본 경제 보복 대응에 '초당적 협력' 약속한 자유한국당, 여야 5당 대표 회동 또다시 거절
- 자유한국당 국회 패스스트랙 관련 경찰수사 즉각 협조 촉구",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,3537,780,0,30,https://www.youtube.com/watch?v=oajBZ3ZLc3Q
oB9cyAXr38o,"'징계 적법 판결'에도 그 때나 지금이나 '뻔뻔한' 윤석열,  분명한 사과와 조치가 필요합니다",2021-10-14T23:50:35Z,"#윤석열 #추미애 #검찰사유화 #징계 

2021.10.16
송영길 당대표 최고위원회의 발언",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,1422,318,0,73,https://www.youtube.com/watch?v=oB9cyAXr38o
oB9LxxHsw2s,이재명 당대표 2024년 신년 기자회견 생중계ㅣ더불어민주당,2024-01-31T03:07:44Z,"#이재명 #기자회견 #신년 
2024년 1월 31일 수요일 오전 11시",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,40583,7670,0,277,https://www.youtube.com/watch?v=oB9LxxHsw2s
oBfCdipmPTw,"화천대유 50억 퇴직금 논란, 오징어게임의 설계자는 누구입니까?",2021-09-27T01:10:41Z,"#곽상도 #윤석열 #화천대유 

2021년 9월 27일
송영길당대표 최고위원회의 발언",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,1445,164,0,42,https://www.youtube.com/watch?v=oBfCdipmPTw
