videoId,title,publishedAt,viewCount,likeCount,favoriteCount,commentCount
ChopNRQ7VVg,대통령의 검찰 인사 → T익스프레스 탑승티켓을 획득하셨습니다,2024-05-17T08:13:23Z,6780,589,0,20
1XiPi56oMMk,"전세사기, 정부 직무유기! 전세사기특별법 개정안 반드시 통과시키겠습니다ㅣ최고위원회의",2024-05-17T00:35:20Z,3269,709,0,88
b3ktGGKkBEE,코로나가 아직 끝나지 않은 사람들,2024-05-16T08:47:37Z,2928,334,0,15
cojwJ_Xpe8k,"이재명 대표, 제22대 국회 전반기 국회의장 우원식 후보 접견 생중계",2024-05-16T07:41:49Z,12327,1921,0,717
5X7-6kjQSRU,전세사기 원인 '덜렁덜렁(?)' 이게 뭔 소리야;;,2024-05-16T06:26:04Z,12511,868,0,56
mfmeKKhjDdI,더불어민주당 초선 당선자 워크숍 생중계,2024-05-16T05:20:55Z,4216,708,0,135
K9E5q49oc3w,제22대 국회의 전반기 국회의장단 후보들을 선출합니다!ㅣ더불어민주당,2024-05-16T02:59:34Z,27265,2815,0,584
iivAVg9_1mA,더불어민주당 정책조정회의 생중계 - 5월 16일,2024-05-16T00:32:44Z,6979,1742,0,40
zfTpMr61T24,여사님을 수사하면 어떻게 될까?,2024-05-14T08:19:21Z,11634,1092,0,65
TPSCgQOVrpU,더불어민주당 원내대책회의 생중계 - 5월 14일,2024-05-14T01:08:58Z,7753,1879,0,73
iQvGclkg7zA,혹시... 맡겨놓으셨나요? 일본이 당당하게 뺏어가는 이유 #라인사태,2024-05-13T07:50:20Z,4052,435,0,15
X1T9toSxep0,더불어민주당 최고위원회의 생중계 - 5월 13일,2024-05-13T01:08:39Z,10801,2387,0,108
e-S5U8zxyD0,최은순은 자신이 가석방될 걸 알고 있었다,2024-05-10T08:23:01Z,4669,583,0,27
1q6mfmM54i0,🔥국회신입의 패기🔥 채해병특검법 즉각 수용하라!,2024-05-10T06:25:40Z,9883,798,0,38
_g-OkUK5Giw,어제 대통령 기자회견 1분 요약,2024-05-10T06:00:18Z,7171,667,0,40
OUCwLX1ffC0,채해병 특검 관철을 위한 더불어민주당 초선 당선인 비상행동 선포식 생중계,2024-05-10T02:48:47Z,6624,1557,0,46
JB0h3fUNVXw,더불어민주당 최고위원회의 생중계 - 5월 10일,2024-05-10T01:01:27Z,9745,2192,0,60
CsYVO2bQYq8,대통령 기자회견에 따른 더불어민주당 원내대표 긴급 입장발표 생중계,2024-05-09T05:01:01Z,23833,4203,0,204
fHxFOZTPZ_Q,대통령 행사 업체는...,2024-05-08T07:25:27Z,8118,758,0,38
